7120 202,551,136 23,204,211 154,970,441 23,204,211
7184 206,316,477 23,607,090 157,875,493 23,607,090
7248 209,885,212 24,017,112 160,575,856 24,017,112
7312 213,742,867 24,484,691 163,563,304 24,484,691
7376 217,381,874 24,902,153 166,318,328 24,902,153
7440 221,281,820 25,319,584 169,327,194 25,319,584
7504 224,977,370 25,744,003 172,123,567 25,744,003
7568 228,970,726 26,228,033 175,216,117 26,228,033
7632 232,736,569 26,660,029 178,067,164 26,660,029
7696 236,771,527 27,091,742 181,180,251 27,091,742
7760 240,593,499 27,530,847 184,072,241 27,530,847
7824 244,722,520 28,031,324 187,269,857 28,031,324
7888 248,615,229 28,477,856 190,216,957 28,477,856
7952 252,784,972 28,923,982 193,434,038 28,923,982
8016 256,733,599 29,377,644 196,421,878 29,377,644
8080 260,998,275 29,894,560 199,724,550 29,894,560
8144 265,017,856 30,355,642 202,767,709 30,355,642
